song_name,artist,song_uri,embedding
Space Me Out,"Boy Amor, Glassface",https://open.spotify.com/track/0B67ukIysEipoSjuDGtNMM,"[13.89279435238443, -2.630076212620068, 0.6954030581554731, -1.831188748820821, -3.5520093431233675, -3.001209651239779, 2.628131975847907, 0.5467145659785151, 2.7697368121718324, 3.247839645126814, -2.076494231485012, -0.5676269089681417, 3.6708329592768916, 3.114111172844387, 0.44462918191954137, -1.6699841546881062, 1.5547314953659241, -0.6139724792454203, -2.9950256064095186, 4.833427104159894, -0.4894725109441105, -1.083181746253571, 0.7142262007251223, -3.794679888738583, 1.5863012988403364, 0.41050631758025824, 2.1072786359934907, -0.7719711660258022, 1.383905352987066, 0.48344748746557686, -1.256223709058406, -0.4251235047039105, -0.7827025995697611]"
deja vu,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,"[-7.545409276161859, -8.940731703331743, 2.5228709693240785, -3.528899544818329, -2.4330086374886277, -8.67070319571597, -0.9567631313776094, -0.9029514810593562, -4.068652806674237, -3.32529433728719, 1.0974290521850592, 1.9572966558546954, 0.609629048680629, 1.932277102690384, 0.6646980672344388, 1.896233542448903, 3.5218190477571807, -1.878216603950934, -0.16400836667698457, 0.0010627076835222514, 0.7359149229218971, -1.1770360645235232, -2.7081254233943866, 2.2648089466622783, -1.4258421289712626, -2.2618763231741283, -0.2160072725869469, 0.9727268095373092, -2.5121284505680133, -0.3306726965059203, -0.9435850208028703, -0.13033456009412708, 1.2710584718107045]"
@elio.irl,ELIO,https://open.spotify.com/track/0Y9mglyez4W53JjoxoahA7,"[-4.537575497140309, -11.343148165066774, 3.472528536770899, -3.6592166170625733, -3.811995621301172, -3.1910088517078807, -4.225522711786729, -2.1820181213051377, 3.1884203428557925, 1.5936649225886312, -5.816817947407757, 0.09843396639259927, -0.18233078725989285, -0.9686473620895404, -1.1008621324975363, -3.312411318989747, -0.8435786751294782, -0.5531042136137904, 0.14171358732398764, 0.8215740070887281, 1.0561054743527796, -0.43833162144565446, -0.22483050877191688, -0.6240739003794957, 1.6656158881230727, 1.1927925409955944, -1.0333095443359637, -2.966463423182619, 0.037597578442484805, 0.2930449282751901, 0.04554823215372345, 1.1988993185733572, 1.3634204390451263]"
Blank Space,CHANEY,https://open.spotify.com/track/5mRAG78zUjsakidiVqYzqn,"[14.26976856786925, -8.189059089328358, -7.9830667539439375, 0.15492851632517152, -4.677774823814364, -3.0170910903617845, 7.562958372101004, 3.060930180996088, -3.32135748225643, 10.684310528342076, 5.25200563204289, 1.1406333221587088, -5.812020147393061, 2.664386449759118, -5.282210413633637, -0.6832796407984135, -2.7594805065162733, -1.174207377400675, 1.3263389514452464, -0.9955340452083958, -2.373815159959845, -0.4126529632419993, -1.3189989226683683, 0.7975876141165221, 0.6769200602022291, -0.5644261795667525, -0.9208117351914255, -1.2930422489366178, 1.7725278864465748, -1.709406129856276, 1.682673596422794, -0.8078201758941317, 1.0679419212099903]"
Dracula,Tame Impala,https://open.spotify.com/track/1NXbNEAcPvY5G1xvfN57aA,"[3.354404803242846, -4.310672425292354, 9.39742413716288, 0.9813636484475523, 7.157224405661979, 3.779574143334892, 0.12238030802926893, -2.967572349014701, 0.1588897654364231, -2.4204037649050725, 2.686258291252531, 2.928112744743599, 3.205802507407759, -1.6538940088673852, 1.7805016360159038, -1.3194166285940359, 1.525664898885581, 2.1481455854993903, 1.6530049637051807, 0.4183029921297688, -0.6894425883396244, -0.18368024960303758, 1.316544837452855, -1.585866171007262, -0.5453758150409054, -0.9066281824200242, -0.22362175279242746, 1.208133697629366, -0.9849050517914062, -1.4305701978658993, 0.19289437559992953, 0.23579152473274026, 0.395863381015213]"
My Old Ways,Tame Impala,https://open.spotify.com/track/4whkhyXTrTgHKZzkUvdwoq,"[7.331282510967418, 3.7288349071088405, 7.514825889696698, -3.816344520967174, -1.9135462692921432, 4.308016166131303, 3.507220632213257, -2.1509303928873305, -1.3065210638637716, -3.648712398744769, -0.1927050003777268, -1.386538787042295, -0.6508694913543142, 0.9103718291730784, 3.20424525633022, 3.3838663973918264, -1.9022379788873667, -0.3381691680150176, -1.7024759763185169, -0.10672251504747246, -0.15499050523598643, -1.3166122592212337, -0.8747894987979753, 1.5961496511265678, 0.7283869748615523, -1.3412378984025521, -1.8554131654780415, 1.2092466108837134, 0.9542014733419154, 2.4186366686251395, -1.0545097069036793, 0.3304210006827844, 0.6246420786946082]"
So Easy (To Fall In Love),Olivia Dean,https://open.spotify.com/track/6sGIMrtIzQjdzNndVxe397,"[-7.51556823796689, -9.076282251743201, 4.590772432494313, 2.054260046198592, -5.248728426382424, -7.070424751354257, -0.06037526128417891, 2.8538373605447847, 1.9565633419073873, -2.6044237385607043, -1.9093569434963853, -3.034376471636786, 0.2678108121477618, 0.04085842668666978, -1.7331054941369577, 0.5775342292118856, 2.24136520744628, -0.33939698823055364, -1.516531440639113, -0.3521448554215726, -0.5135250530461207, 2.3951893609346815, 0.17740677069402486, 0.5611931031492544, -1.6233366668464932, 0.5563979797551474, -3.5482777811405515, -0.7811076591125976, -0.41291924936125035, 0.656148328988514, -1.935796502635649, -0.49404253162755607, 0.7110462291416212]"
Howling,James Chatburn,https://open.spotify.com/track/6RTfH0aoCM5ENHv7GnwWtP,"[-6.4403152623669575, 1.6726047803518305, 2.3424703485244587, 6.249658809245049, 8.105897336147978, 5.481841189095302, -0.9773298910503059, 3.608688649019525, -3.937722130611342, -1.6032232600221976, 2.626352077027475, 8.431215946704341, 6.100980200395097, -0.0077889316202248236, -0.9090507187295445, -2.3379564795880032, -2.8494246985690492, 3.5932701039441888, -2.030024010488229, 2.032875003533092, -2.2749603121797235, 2.0800928153191705, -3.645688672398905, 0.7087544191591953, -0.032837996974402144, 1.7320908906920558, -0.531799164067603, -2.300502588851742, 0.19263686611717212, 3.8252340644467804, -2.0717448657601816, -1.4985218397632851, -0.9020825072807663]"
Holding Me Down,Danielle Ponder,https://open.spotify.com/track/524rxTETDSE7zacWTyRgEl,"[-18.265980124127523, 10.682016460748649, -13.960570284680939, 6.084909020262804, 3.739767200286961, -0.9795653623371531, 14.908823271625984, 0.72142403605469, 6.736684730685674, 0.6840123977813025, 9.702810558618177, -0.8070097941006469, -2.6798124758454587, -2.99448254844997, 3.926254799365261, 5.382708156331192, -0.029435490306691414, 1.1305961272998615, -1.8692137236111057, 2.7875949208158413, 4.390280928089789, -0.31143027230699855, 3.013047686600955, 0.6759355939862212, 2.297791019680024, 3.547091615440209, 0.08189950811584541, -2.571564566098849, 1.9825684475411545, -2.3141964448933954, -1.9234968602370386, 0.9962456218131492, 2.1372341593978073]"
Midas,Wunderhorse,https://open.spotify.com/track/2FhyTzw49NtYw29JEFvdu2,"[-7.535157738045546, 11.5461782562081, 3.912859420773128, -15.028813295352634, 11.399290614413573, -11.149109227294717, -6.115595692564102, -3.058011054306685, 1.2938014654789058, 6.56515970111884, 2.2431295424683504, -1.2888898900211028, -3.127644555294499, 2.3650809557553907, 0.6103762702232355, 6.454352422132725, -0.19923676795654394, -0.3429435926649709, 3.6986578302117303, -3.7416594288598475, -5.457177955347018, 4.916782829443474, -1.2571581847119135, 1.3827989092005515, -0.4190165636433254, 2.227476338687013, 1.8904657551388386, 0.537784474221812, 2.116663207008065, -1.0082470409683861, -0.25619633186194146, -0.39483464765545584, -1.5396546777935536]"
