song_name,artist,song_uri,cluster
Space Me Out,"Boy Amor, Glassface",https://open.spotify.com/track/0B67ukIysEipoSjuDGtNMM,0
deja vu,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,1
@elio.irl,ELIO,https://open.spotify.com/track/0Y9mglyez4W53JjoxoahA7,1
Blank Space,CHANEY,https://open.spotify.com/track/5mRAG78zUjsakidiVqYzqn,0
Dracula,Tame Impala,https://open.spotify.com/track/1NXbNEAcPvY5G1xvfN57aA,0
My Old Ways,Tame Impala,https://open.spotify.com/track/4whkhyXTrTgHKZzkUvdwoq,0
So Easy (To Fall In Love),Olivia Dean,https://open.spotify.com/track/6sGIMrtIzQjdzNndVxe397,1
Howling,James Chatburn,https://open.spotify.com/track/6RTfH0aoCM5ENHv7GnwWtP,1
Holding Me Down,Danielle Ponder,https://open.spotify.com/track/524rxTETDSE7zacWTyRgEl,2
Midas,Wunderhorse,https://open.spotify.com/track/2FhyTzw49NtYw29JEFvdu2,2
Everything I Do - Dombrance Remix,"Anoraak, Moona, Dombrance",https://open.spotify.com/track/6eETIqHgFCVZqVSTAy0jC4,0
In Between,Junaco,https://open.spotify.com/track/11KftsB7VRHkwGnw0TTgqW,1
Cache,Moi Je,https://open.spotify.com/track/3g1jLEdH40RztXP52izu1L,0
Sharks In The Water,Franc Moody,https://open.spotify.com/track/6X4GH7Rs3Yy286wwZVoBYQ,0
Exotica (feat. Mind Enterprises),"Purple Disco Machine, Mind Enterprises",https://open.spotify.com/track/4b6OuqikQDh0U3dDto7i54,0
Louder,Sunrom,https://open.spotify.com/track/1Hd6PTqt2cbwPh4y33m1hD,0
Belong To You,"Cut Copy, Kate Bollinger",https://open.spotify.com/track/0ldxSxecXt4pyOauTVkVZs,1
The Fade Out Line,"Phoebe Killdeer, The Short Straws",https://open.spotify.com/track/7I1v3hLSDCZK4EdGVokFcj,1
Mad Woman,Nora Mae,https://open.spotify.com/track/76SzCnWmnpsvfeLkh5tcsH,0
In My Head,"Phantogram, Whethan",https://open.spotify.com/track/7J2Sl1ENGmwaJm9qlBBDyZ,0
Idol,Mind Enterprises,https://open.spotify.com/track/0o15nDyr5XH7vy3MV1JK8B,0
Escape,Junaco,https://open.spotify.com/track/32k9k0pSXCoERXKDWZdpak,1
California's Crying,Nora Mae,https://open.spotify.com/track/6KizdnjxUopFxoYUQSl99h,1
Fade Away,M'Lynn,https://open.spotify.com/track/7uT8GS6bjpJBSD83xexWJp,1
BITE THE APPLE,Claudia Bouvette,https://open.spotify.com/track/0qEIQ5Ctmo5de10Wt3Hjy7,1
It's Starting,RIO KOSTA,https://open.spotify.com/track/09t9XJnyzfCqqeAmBJpoKW,2
Uummati Attanarsimat (Heart of Glass) - Remix,"Elisapie, Hologramme",https://open.spotify.com/track/6NZrXEDeWtaimPkhcoLqcH,0
Keeper,Reignwolf,https://open.spotify.com/track/5viUoBe9m6FHt6v5UJvISA,2
Cold Kiss,ZUNRAID,https://open.spotify.com/track/07f9f3E2gjZ6hmgzmkqNUF,0
Beach Break - KNKS Remix,"Julietta, KNKS",https://open.spotify.com/track/2c32TY6su3q4f2XrLVRPmE,0
Out Of Love,Courrier Sud,https://open.spotify.com/track/5ZzfYkGHTAyH3edrwbOz4w,1
Angels,Chloé French,https://open.spotify.com/track/1Dq5P9rnmH2mEA23BUngxi,0
Guardian Angel (Stand By You),Sofi Tukker,https://open.spotify.com/track/4PkfclOLKVd7QyBJasZkg8,0
That's All,Paco Versailles,https://open.spotify.com/track/6yxqs4AlIwoxEJkZtEZoQt,1
Marseille,Oracle Sisters,https://open.spotify.com/track/43qx8PEmvj1r7xO9BKjS3a,1
Her Eyes,Charlie Jeer,https://open.spotify.com/track/3IdN6RaoBu9L0fwGwfrJ5B,0
I Have Been the Moon,The Sways,https://open.spotify.com/track/4tn3jYTy9NU3YPyL1rSn9v,1
