song_name,artist,song_uri,embedding
Space Me Out,"Boy Amor, Glassface",https://open.spotify.com/track/0B67ukIysEipoSjuDGtNMM,"[-5.2865081626728445, 10.665286572308172, -2.710191263526989, 10.224582017084929, -3.008642027588555, -2.0565281790435557, 7.945396517798727, 1.787798336766475, 1.4342266648478201, 3.8606267599243935, -2.914727478940301, -5.417808770554427, 6.607922220972796, 3.661232316509785, 1.6959864014366484, 5.55910582878348, -2.538897183723455, -3.6257852350332826, 3.7441922097353513, 6.29567478403772, -3.7520822754426195, -5.240299194443989, 6.915504811024484, 1.8030500869042034, -5.739827252169481, -3.209571729038323, -4.999354778016511, 1.1932106504651374, -0.7036949021362624, 0.6535660752878254, 0.2532040579739537, -2.2891147020052593, 0.5930448397052293, 0.20095761321913774, 2.0025139817926956, 1.6211410576664427, 5.764174715212143, -1.3348332080760275, 4.034071513942109, -2.0175043519578555, 0.036027607345694206, -2.2628742027976445, 0.7098862314818247, -1.4734449924289468, -2.3392534957366626, 0.7155998929048688, 0.9392641330512461, 1.6245651683477798, -1.3004000100987434, 2.258979020655027, -1.213852050660944, 0.44647857547188735, 0.7283949268079705, 2.9500383376152177, 0.46349149204533, 0.922648993229865, 1.6580923570713166, -1.9914528281334096, 1.0016656143919513, -0.2508799205190547, -2.0888954805766113, 0.9184292148048278, -1.0190845636449817]"
deja vu,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,"[12.283299408013347, 7.540648780766149, 1.4512995983016355, 7.335720125022719, -5.048420708363027, -2.0564849208153806, 7.878075430859514, -0.895908887317031, 8.409296066261087, -6.228378390831392, 5.577921305204572, 2.007556342112545, 0.8575658550896644, -2.659275474830975, 3.8906662521713486, -3.051004940943388, 1.9975599399774702, 2.822423523544237, -6.064220687678849, -4.872425868995001, -1.1538257809233714, 6.00430034499848, -1.0687439675959398, -0.36350791130369026, -2.0814549261230586, 1.7751956680236576, 0.1994087834551861, -1.11198230253324, -5.243753557402951, 3.404480160853485, 1.8311279959831916, -1.3511837291021522, 0.2578011355513833, 3.8552335309408052, -1.478392511347378, 4.424306914383378, -2.1522013211118245, -3.0120760560280924, 5.544551839881757, -3.4374531515539655, 2.6176295915046177, 1.5115241765504166, -1.5099939188239675, -5.234750993236287, 0.12695657562417417, -1.329116969923686, 1.0326677474093056, -1.7674048807101144, 1.9550608681237418, -1.620814497859267, -1.7288617385099223, -2.3751355056654493, 1.2706281092450544, -0.5665295287119863, 2.394893806558844, 0.6945206140796103, 1.9127121890831311, 0.49131553176401327, -0.1601948562438186, -0.6906904822223983, 0.7723575832681588, -0.7021512884888286, 0.6211046243889049]"
@elio.irl,ELIO,https://open.spotify.com/track/0Y9mglyez4W53JjoxoahA7,"[5.437266804291617, 11.394035571249104, 1.6181596450772817, -0.9999910966424036, -1.519854049861071, 2.837673929698295, -2.9266803713014253, -0.009859994642665538, -11.345826832996822, 0.49454584882189384, -2.965955439962816, 1.407056809765554, -3.122887656780012, 1.6581829030080681, -0.18813910076106768, 1.858149502773448, 3.4113146391312346, -1.9190494201610275, 0.8263003476065404, -3.404809888214842, -0.2298128090321094, -0.4350858334708381, 0.8831095507687778, 1.0372270275925857, 2.0422964209564425, -2.3111738685534347, 2.479704414140951, -0.88622758861162, 0.3427365755175275, -1.964340933154145, 1.6447613284012828, -1.2550763029412577, -0.06700367436754691, 2.1202279839848934, -1.8899342912966848, 2.049594344538372, 1.5829911481620293, -3.4167100386794425, -1.6120547406305303, 0.4106668842044484, -0.30634290064663106, 1.260601162396407, 2.545710212816184, -0.05208216064921675, -1.0616756864754398, -0.9676829626487592, 0.463011762941226, 0.3480672124156777, -0.987485517349367, 2.211549363991539, -1.0878971358978813, -2.176778170125091, -2.7688238635615217, 2.0456535483986764, 2.6270513947870144, 0.017994576994414438, -0.6673022707500806, -1.3902652899889258, 2.3374229833347147, -1.7396650807271952, -0.22606872919580562, 0.19263570210965328, 2.100698258286096]"
Blank Space,CHANEY,https://open.spotify.com/track/5mRAG78zUjsakidiVqYzqn,"[-3.184830451121733, 9.20534588590295, -4.032427992887861, 4.368751289813085, 2.9137843536731243, 3.4025075215663056, -6.1926702383604555, -2.411780764346063, 5.220232486977107, 4.951624636802674, -3.4133440516362583, -1.6611668192976532, 0.30645684784388494, 0.06626546665750001, 1.7805139817689473, -2.534632050869609, -3.2394311097317985, -0.8189081934377863, -6.548633776645904, 2.734915275619552, -1.599437104713797, 0.11258507934170034, -3.4679740373730485, -2.2925024624219184, -2.2842880839474895, 0.9333702628361442, 0.4884225393079588, 3.0326634251976374, -1.0138538859370407, -4.593898260160436, 2.503914117163962, 4.015916578356855, -4.077168756451896, -5.23523491291774, 0.3289896610810102, 0.22590133261800943, 1.3367410434381335, -3.2494709537863575, 0.180056405231551, 0.3017590788396176, -3.9155496933947656, 0.12458921012416317, -3.9352585200275803, -4.135365831263092, 0.22872020530781184, 1.8746819666360015, 2.4269596006701994, -3.647480536814208, -4.086825905170981, 1.894892922319351, 1.8952136869662002, 1.3826619380815048, 1.2311856591588632, 1.2433124948428977, 3.3376055543702825, -3.2797045143910757, -0.4637429975375554, -0.9467414943121624, -0.4881102831281986, -0.2032548423009218, 2.0276287060135334, -1.3396091252348616, 0.7786598756663244]"
Dracula,Tame Impala,https://open.spotify.com/track/1NXbNEAcPvY5G1xvfN57aA,"[-5.412200989262812, 3.5036039285411746, 0.6967145837978751, -2.6004346969547694, 1.8882598910594095, -4.255500068225687, 2.8589080600416916, 10.188034220093696, 3.527171456243424, -0.6167052670438102, 8.847964807379116, -2.805596265302697, 2.1586065818231104, 0.6691291298212555, -1.8224509617249218, -3.8529123594683834, 1.776993606797962, 4.192948707566979, -2.7709396009386795, 2.677003484083821, -1.4500905669733355, -2.8839306817877692, 0.11096410874025485, 1.7137850313829373, -0.31533663946730156, -2.89908412113114, 6.219305589774292, 1.9046278168040793, -4.194546003798553, 2.971044579783367, 3.600823058438634, -2.039655066344934, -0.6550534064825044, -0.8719334973289914, -2.2960767154681982, 1.6498462104267195, 2.428810211758786, -1.6893362165348416, -0.4574423198764223, -3.7258924804661837, -4.015907175279932, 0.9137908477974943, 2.7089312229448472, 6.014043962840348, -2.9076075487912925, -2.5630733449732617, -2.496366795079039, -1.5237661609304245, -1.507390150083623, -2.150691760956679, 2.412856673128945, 1.549996146716879, 0.161936853545067, -1.5923119280135505, -0.35794047053796535, -0.40062599027672685, -0.3394595898778952, -0.8356882565127898, 0.5398605158708071, 0.1897891281762683, -0.4745901943289087, -2.4450883342169383, 1.0483863959649766]"
My Old Ways,Tame Impala,https://open.spotify.com/track/4whkhyXTrTgHKZzkUvdwoq,"[-1.8370867526164023, 1.580898957232951, -2.314880469657553, -3.6038986264289083, 6.655270153171897, 8.562228509476107, 6.93700644484105, -1.4179602286743103, -2.579970092211231, -4.718856081058561, 0.3971437609371302, -5.285389939651578, -3.8364828402631663, -0.629889508217036, 1.1512405839566486, 1.6522794002727483, -3.3686019019633924, -2.5424176078406937, -5.5553443491572345, -1.1579191470046326, 5.11241529169759, -1.5998056077361966, 0.061282084841579376, 3.281688158625764, -3.336041484343643, -1.7438792731180706, 2.605237285793109, 0.32476118649911373, 3.8293164132227964, 2.8128573830406824, 2.699149824324426, -3.796200070854209, -5.544385038762452, -1.4715781929957021, 0.18450227434551678, 0.9945057988446341, 2.575699314972201, 1.117411569058702, 4.200447443715667, 3.218489510529582, 2.4374163716694097, -0.3119522146306759, -0.9246573431650329, -0.747605400871674, 1.7146231894499935, 1.4343036332528567, 0.3575572086956901, 1.198934304320082, -1.8570790932786818, 0.16362813301216114, -1.181374733302878, 2.514047458558057, -0.4312966403768303, -2.6670386230098413, -0.9321507138911614, 2.134209326710405, 0.15954577387137137, 0.5833439309876371, 1.4166038509114753, -2.851606829479043, 4.675262188906546, -0.8036890334385148, -2.0992410631310032]"
So Easy (To Fall In Love),Olivia Dean,https://open.spotify.com/track/6sGIMrtIzQjdzNndVxe397,"[8.615256260744452, 10.772608171580558, -1.8799284562285186, -4.067633877254338, -6.608990691928802, 0.705219280771343, 10.075402575505553, 4.827372843251032, -0.52697749607153, -2.1589158294989153, -1.8557396274896623, -1.0473247120531557, 3.6296809694755727, -2.471653106543391, 3.53073966445052, 3.187559553598603, -0.8199511057013784, 4.5924503567412405, 6.314752074657051, 6.312519083573514, -5.185843040305549, 4.591637087467311, 0.4028120701352021, 0.1487427152193699, 2.203770788775622, 0.10940963977541326, 5.9900424294595185, 3.3163962988968834, 4.267266215890846, -1.6560947433795372, 1.4371943631863084, -0.1357921650819384, 3.14046212500611, -3.138982273644364, -1.066666879242612, 0.1286218468695742, -3.4305764720798058, 0.40417900380622745, -2.07423055300431, -2.536524787590336, 2.2291908222377357, 2.3701203533305613, -1.369815226855739, -1.9248846455807729, 3.3018987630273484, 1.36517591634819, 2.691179720427022, -3.4823676821796448, -1.634789898379101, 2.4094314665365615, -5.754419243793807, -0.3127011188025815, -0.32492580818469297, -1.6651185048576742, -1.303587461642862, -2.389454346072833, -0.15727073106391715, -0.4703856993660205, -0.35948794526576433, 0.39842732117519997, -1.8444975789081393, 0.9164805805787467, -0.10097770469263954]"
Howling,James Chatburn,https://open.spotify.com/track/6RTfH0aoCM5ENHv7GnwWtP,"[9.52585879398843, 0.4750505663096971, 3.7352003990498797, -11.57980908486689, 1.4919548339239699, -1.849084825222773, -0.7108771011554299, 1.4626735901740295, 4.866185259459409, -3.805305260046486, -3.3365663268097108, -0.005075416642296811, 3.7709389135333553, -6.352740392516443, -0.9650002304324158, 0.5160656255170621, 1.9649543138010448, -0.34816653510514034, 3.839025803060167, 3.4692214106895705, 0.4257370452341456, -5.27958224452701, 2.0356279165347306, -6.6294966107988955, -0.6223321739331338, -1.2063085097886248, 0.6540170719734126, 0.6261434925562905, 1.3528244193705554, 0.30729238056263236, 1.0622269768953527, -2.51503550491778, -0.3332838354665622, 2.546451005746673, -2.774855540219351, -0.8846263279143783, 2.600087856073125, -1.5694551307557543, 0.1902743651352938, -0.4858489171994753, -2.9706915292506966, 0.7356397018196769, -2.5432333909801663, 0.776676043573099, -3.444230056598934, 1.3483883256260671, 0.4601787439817727, 0.3828981132979804, 0.9553884342554597, -3.550991449201543, -0.780714419112417, -3.9393621787847826, 2.713233523492179, -0.8468764602552601, 3.0363371197580733, 4.1339668356000185, -0.633294352947257, -0.5300713251460225, 2.37370985682535, 4.722067613457393, 1.9644610554419046, -0.4958859208993728, 0.9892056467893201]"
Holding Me Down,Danielle Ponder,https://open.spotify.com/track/524rxTETDSE7zacWTyRgEl,"[8.647344298938105, -13.105730693129416, -10.484866325555435, 12.67647412090468, -0.9081074026319407, 6.150832112744965, -8.119559536685461, 9.779406277537769, -2.8409529592579235, -3.766898605788931, -7.412285861156369, -10.837122016279332, 0.6175729097204906, 4.367319093815319, 3.515331146635706, -0.9137116771436381, 2.758903686792675, 5.560546237961281, -6.461194101532175, 1.30544465926733, 0.49082456670322844, 1.5451284898013575, -0.42970208325382797, 0.9011041141275106, -3.5566841691761213, -4.673188212010966, -0.8335796819243083, 1.3145672236716963, -0.10869837665578325, -0.8635269603501241, -7.3254045292639125, -0.8558823638158908, 1.5033635316598704, 2.4432939031216776, -1.4474567645311038, -2.8906114239496437, -2.2611906187047457, 2.064322235562479, 1.4698074589311645, -0.07844931943691125, -2.9168267407558535, -2.9455232261197577, -2.0081828034764886, 2.1891105035901752, -1.2080848309352095, 1.3622692012393276, -1.0155660808823754, 0.28707552247972074, -0.1466177037014402, -2.0955590148939174, -3.698287978711856, -1.5125406912671426, -2.053453386286371, -0.6062813157638398, 1.7175574368726743, -1.3007861161638172, 1.3574707501135617, -0.22113028015457178, -0.9161296435440456, -1.3945153288927832, -0.768427313340448, -0.7331026160530076, -0.4061107783750222]"
Midas,Wunderhorse,https://open.spotify.com/track/2FhyTzw49NtYw29JEFvdu2,"[1.9323721158861997, -6.776839317766643, 21.00023652574406, 11.953059646213568, 2.231795213122128, -6.456945618924728, 3.5313670200263685, 1.5662095607979785, 3.9754153764090727, -2.228316639098132, -1.1725432299519871, 3.707515916253762, 1.8865848955877096, -2.391287116853112, 2.2110865939044384, 3.630226110978557, -2.654723386143169, 0.7739261477561891, -2.599843947654465, -2.4814284852896744, -1.0261577177467338, 1.3072812238912352, 2.1262705194483087, 1.4408780236870729, 1.4734000209696954, -3.8535352051554552, -0.930985482841124, -4.541593330755177, -0.3728056934200501, -3.260899433281585, 1.6463665340297915, 0.2359543574053993, -1.8667582230786646, 0.3744766550373721, 1.3116459363156923, -3.0027623993544124, -2.1065581221457936, -0.5065867105947817, -3.6668315521886687, -5.289411248555481, 0.517985242278592, -2.0078350753545116, -1.6801041505272882, 1.387883016357407, -2.0420625250393263, 3.659905038669231, 4.246480914632982, 1.260653919649905, -0.7491279484491833, -0.035547598868586515, 2.727500762034239, 1.844518875509831, -0.8633413139773227, -0.18300485867239874, 0.2780908555000002, 1.2024370753350802, 0.7569118755399532, 3.7263883930502453, -2.2444156759135767, 2.170516521332543, -0.921224856567051, -0.18461171290610479, -3.1163230987849393]"
Everything I Do - Dombrance Remix,"Anoraak, Moona, Dombrance",https://open.spotify.com/track/6eETIqHgFCVZqVSTAy0jC4,"[-12.548945933101319, 4.911623612481527, 0.7098433560136931, -2.1193086996855124, 4.457696363322609, 8.291537720283623, -0.4263650020992926, 1.175025147645086, 2.684339357482607, 3.0933099165584026, -3.0404747884990546, 4.0766404221827095, 0.3809017173535577, 1.2500944337107462, -1.229234854939304, -4.570618889811571, 0.3403414136150041, 2.6360219625565233, -0.8712069837313151, -1.5368311928213805, -2.3893764018909738, 1.0204340643577972, -1.0449248375016698, -1.0359926054308868, 2.1647414447077336, -0.2357407851216612, -0.14606254537022875, 1.2721622396584786, -1.4416911353057629, -1.9096050513501661, -1.8693763440914857, 0.9738750450606761, 1.2969716049301574, 3.1531044288744114, -1.8258998108047921, -0.2972272343878996, 3.4624103124402876, 1.13686062609699, 0.22583614250345405, -1.7022663302758634, -2.085272941523451, 0.6947880981251989, -0.6823073784078049, -1.3755757575046639, -2.835324171384896, -0.15957928902269067, 2.5821799626155277, -1.2633490218920944, -1.0391681614280341, 0.9104063196259895, 2.4499511892462795, 0.5719254850804966, -1.0755911054521907, -0.8068406721839311, -3.30491280558561, -2.6012438034820757, 0.34947292043316974, 3.0051639419970564, 0.9766628176772707, 0.3460948253504215, 0.6070875715893395, 1.1981578300160685, -1.1049825009042267]"
In Between,Junaco,https://open.spotify.com/track/11KftsB7VRHkwGnw0TTgqW,"[9.83368234390632, -4.184802379863426, 12.824180659279893, -7.710663705305388, -1.3490189049770256, -2.2018829533310327, -0.02368457825363669, 2.539950298471803, 2.15449127821077, -2.4927886745883994, -4.117338984222558, 4.6906120181928985, -3.716918899144641, -4.398701055972621, -5.630853857249248, -1.5092583430418771, 4.625415536225604, -0.9875294363140031, 0.28369554740635794, 0.13614434329424152, -2.4838286529999993, -1.7948231382239501, 0.9514303876215171, -3.1044676005051066, 2.351187943078637, -2.5400562775730515, 0.8058809071928098, 3.1428944473347156, -0.5917987747249651, -2.4198635650187508, 3.7998131017408787, -0.6126338470276174, 3.1804090943542542, -0.9351188050445208, 0.9094781648372418, 1.2422379574094093, -2.4998411845117476, -0.980924393937805, 1.6624811349120359, 0.9940191107235559, 0.48024013988063424, -4.994787425591959, -0.3489490925329694, -2.287252289109915, 1.3069716465820833, -1.899071946901263, -3.7296537977054243, 6.6282204264591, -1.8917739324413858, -1.3626066424786023, 0.039606489513154645, 2.5165131576006137, 0.4073982423271462, 0.030104977024547504, 2.895340303876811, -3.5848529864300156, 1.6307043470734939, -1.8375827205311426, -4.107688788486585, -2.291004597807806, 0.9659106300432161, -0.9768164277962853, -1.5459340537690343]"
