component,explained_variance_ratio,cumulative_variance
PC1,0.1461919226261236,0.1461919226261236
PC2,0.11847842562393626,0.26467034825005986
PC3,0.10144807738680277,0.36611842563686264
PC4,0.07867739452696758,0.44479582016383024
PC5,0.06586059849193761,0.5106564186557678
PC6,0.04847358297450502,0.5591300016302728
PC7,0.04352031332326995,0.6026503149535428
PC8,0.04093105070704784,0.6435813656605907
PC9,0.03706221583128445,0.6806435814918751
PC10,0.02836611874885238,0.7090097002407275
PC11,0.026580781369910222,0.7355904816106378
PC12,0.024913559975899207,0.760504041586537
PC13,0.02236586353560796,0.7828699051221449
PC14,0.018044060007746075,0.800913965129891
PC15,0.01674977686171235,0.8176637419916033
PC16,0.01600931228600375,0.8336730542776071
PC17,0.014556999194360504,0.8482300534719676
PC18,0.012754254107119669,0.8609843075790873
PC19,0.011085896484779641,0.8720702040638669
PC20,0.009236955436530284,0.8813071595003972
PC21,0.008503593224154653,0.8898107527245518
PC22,0.007355689910106227,0.8971664426346581
PC23,0.007193378422529867,0.9043598210571879
PC24,0.006321458983131101,0.910681280040319
PC25,0.006010271722510566,0.9166915517628296
PC26,0.005555473946842344,0.9222470257096719
PC27,0.004939568376821857,0.9271865940864937
PC28,0.004746860325616624,0.9319334544121104
PC29,0.004661597188171815,0.9365950516002822
PC30,0.004056149538633433,0.9406512011389156
PC31,0.003662890705690119,0.9443140918446058
PC32,0.0034817731925198443,0.9477958650371257
PC33,0.0033371972974912826,0.9511330623346169
